X	Y	Species	Type	Diam	Height
14.0088602514443	92.4420392086031	QURO	Adult	53.7943707650606	0
30.1567094331549	93.3742394052097	QURO	Adult	30.2394391874601	0
31.6508253904103	94.9050760797691	QURO	Adult	28.0112699841736	0
34.3452121192386	93.2985560052912	QURO	Adult	35.9690171387684	0
36.9160628167083	92.5844607459148	QURO	Adult	17.1887338539247	0
40.7193477475739	90.5128125990741	QURO	Adult	11.1408460164327	0
43.5076649211187	90.2398872259073	QURO	Adult	39.1521160006063	0
45.8685624534191	85.6350032364135	QURO	Adult	38.8338061144225	0
45.3954497780724	82.639155455865	QURO	Adult	50.2929620170389	0
46.2009972308151	80.844219521503	QURO	Adult	37.8788764558711	0
39.7007630298249	80.5165647026151	QURO	Adult	29.9211293012763	0
33.1694487185086	86.1982707671705	QURO	Adult	28.0112699841736	0
